,Name,State,Conference,PrivatePublic,Year,Rank
2573,University of Maryland,MD,Big 10,Public,2008,54
2574,Lehigh University,PA,Patriot,Private,2008,31
2575,Texas A&M University-College Station,TX,SEC,Public,2008,62
2576,University of Georgia,GA,SEC,Public,2008,59
2577,University of Rochester,NY,UAA,Private,2008,35
2578,Virginia Polytechnic Institute and State University,VA,ACC,Public,2008,71
2579,Wake Forest University,NC,ACC,Private,2008,30
2580,Case Western Reserve University,OH,UAA,Private,2008,41
2581,College of William and Mary,VA,CAA,Public,2008,33
2582,Florida State University,FL,ACC,Public,2008,112
2583,Northeastern University,MA,CAA,Private,2008,96
2584,University of Minnesota,MN,Big 10,Public,2008,71
2585,Stony Brook University,NY,CAA,Public,2008,96
2586,University of Connecticut,CT,Big East,Public,2008,64
2587,Brandeis University,MA,UAA,Private,2008,31
2588,Michigan State University,MI,Big 10,Public,2008,71
2589,North Carolina State University,NC,ACC,Public,2008,85
2590,Pennsylvania State University-University Park,PA,Big 10,Public,2008,48
2591,Rensselaer Polytechnic Institute,NY,Liberty,Private,2008,44
2594,George Washington University,DC,A-10,Private,2008,54
2595,Syracuse University,NY,ACC,Private,2008,50
2596,University of Massachusetts-Amherst,MA,A-10,Public,2008,96
2597,University of Miami,FL,ACC,Private,2008,52
2598,University of Pittsburgh,PA,ACC,Public,2008,59
2600,Binghamton University,NY,AmEast,Public,2008,82
2601,Indiana University-Bloomington,IN,Big 10,Public,2008,75
2602,Tulane University,LA,AAC,Private,2008,50
2603,Colorado School of Mines,CO,RMC,Public,2008,75
2604,Pepperdine University,CA,WCC,Private,2008,54
2605,Stevens Institute of Technology,NJ,MAC,Private,2008,75
2606,University of Buffalo,NY,MAC,Public,2008,118
2607,University of California-Riverside,CA,BWC,Public,2008,96
2608,University of Delaware,DE,C-USA,Public,2008,71
2610,University of California-Santa Cruz,CA,C2C,Public,2008,79
2612,Worcester Polytechnic Institute,MA,NEWMAC,Private,2008,62
2613,Clemson University,SC,ACC,Public,2008,67
2614,Marquette University,WI,Big East,Private,2008,82
2616,Fordham University,NY,A-10,Private,2008,67
2617,Southern Methodist University,TX,ACC,Private,2008,67
2620,Auburn University,AL,SEC,Public,2008,96
2621,Baylor University,TX,Big 12,Private,2008,75
2624,University of Iowa,IA,Big 10,Public,2008,64
2625,Drexel University,PA,CAA,Private,2008,108
2626,Illinois Institute of Technology,IL,NACC,Private,2008,96
2629,Texas Christian University,TX,Big 12,Private,2008,108
2630,University of Oregon,OR,Big 10,Public,2008,112
2631,University of San Diego,CA,WCC,Private,2008,107
2632,American University,DC,Patriot,Private,2008,85
2633,Arizona State University-Tempe,AZ,Big 12,Public,2008,124
2637,Saint Louis University,MZ,A-10,Private,2008,82
2639,University of Colorado-Boulder,CO,Big 12,Public,2008,79
2640,University of Tennessee,TN,SEC,Public,2008,96
2641,Yeshiva University,NY,,Private,2008,52
2642,Brigham Young University,UT,Big 12,Private,2008,79
2643,Howard University,DC,MEAC,Private,2008,96
2644,Iowa State University,IA,Big 12,Public,2008,85
2646,University of Arizona,AZ,Big 12,Public,2008,96
2647,University of New Hampshire,NH,AmEast,Public,2008,108
2656,University of Denver,CO,The Summit,Private,2008,85
2657,University of Missouri,MZ,SEC,Public,2008,91
2658,University of Oklahoma,OK,SEC,Public,2008,108
2659,University of South Carolina,SC,SEC,Public,2008,112
2663,Miami University,OH,MAC,Public,2008,67
2665,University of Dayton,OH,A-10,Private,2008,112
2668,University of Vermont,VT,AmEast,Public,2008,96
2669,Clark University,MA,,Private,2008,91
2670,Clarkson University,NY,Liberty,Private,2008,124
2671,Loyola University Chicago,IL,A-10,Private,2008,112
2674,University of Alabama,AL,SEC,Public,2008,91
2676,University of the Pacific,CA,WCC,Private,2008,96
2678,Colorado State University,CO,MW,Public,2008,124
2681,Michigan Technological University,MI,,Public,2008,124
2684,University of Kansas,KS,Big 12,Public,2008,85
2686,Princeton University,NJ,Ivy League,Private,2007,1
2687,Massachusetts Institute of Technology,MA,NEWMAC,Private,2007,4
2688,Harvard University,MA,Ivy League,Private,2007,2
2689,Stanford University,CA,ACC,Private,2007,4
2690,Yale University,CT,Ivy League,Private,2007,3
2691,University of Pennsylvania,PA,Ivy League,Private,2007,7
2692,California Institute of Technology,CA,SCIAC,Private,2007,4
2693,Duke University,NC,ACC,Private,2007,8
2694,Brown University,RI,Ivy League,Private,2007,15
2695,Johns Hopkins University,MD,Centennial,Private,2007,16
2696,Northwestern University,IL,Big 10,Private,2007,14
2697,Columbia University,NY,Ivy League,Private,2007,9
2698,Cornell University,NY,Ivy League,Private,2007,12
2699,University of Chicago,IL,UAA,Private,2007,9
2700,University of California-Berkeley,CA,ACC,Public,2007,21
2701,University of California-Los Angeles,CA,Big 10,Public,2007,26
2702,Rice University,TX,AAC,Private,2007,17
2703,Dartmouth College,NH,Ivy League,Private,2007,9
2704,Vanderbilt University,TN,SEC,Private,2007,18
2705,University of Notre Dame,IN,ACC,Private,2007,20
2706,University of Michigan-Ann Arbor,MI,Big 10,Public,2007,24
2707,Georgetown University,DC,Big East,Private,2007,23
2708,University of North Carolina-Chapel Hill,NC,ACC,Public,2007,27
2709,Carnegie Mellon University,PA,UAA,Private,2007,21
2710,Emory University,GA,UAA,Private,2007,18
2711,University of Virginia,VA,ACC,Public,2007,24
2712,Washington University in St. Louis,MO,UAA,Private,2007,12
2713,University of California-Davis,CA,BWC,Public,2007,47
2714,University of California-San Diego,CA,BWC,Public,2007,38
2715,University of Florida,FL,SEC,Public,2007,47
2716,University of Southern California,CA,Big 10,Private,2007,27
2717,University of Texas-Austin,TX,SEC,Public,2007,47
2718,Georgia Institute of Technology,GA,ACC,Public,2007,38
2719,University of California-Irvine,CA,BWC,Public,2007,44
2720,New York University,NY,UAA,Private,2007,34
2721,University of California-Santa Barbara,CA,BWC,Public,2007,47
2722,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2007,41
2723,University of Wisconsin-Madison,WI,Big 10,Public,2007,34
2724,Boston College,MA,ACC,Private,2007,34
2725,Rutgers University-New Brunswick,NJ,Big 10,Public,2007,60
2726,Tufts University,MA,NESCAC,Private,2007,27
2727,University of Washington,WA,Big 10,Public,2007,42
2732,Lehigh University,PA,Patriot,Private,2007,33
2733,Texas A&M University-College Station,TX,SEC,Public,2007,60
2735,University of Rochester,NY,UAA,Private,2007,34
2737,Wake Forest University,NC,ACC,Private,2007,30
2738,Case Western Reserve University,OH,UAA,Private,2007,38
2739,College of William and Mary,VA,CAA,Public,2007,31
2745,Brandeis University,MA,UAA,Private,2007,31
2748,Pennsylvania State University-University Park,PA,Big 10,Public,2007,47
2749,Rensselaer Polytechnic Institute,NY,Liberty,Private,2007,42
2752,George Washington University,DC,A-10,Private,2007,52
2753,Syracuse University,NY,ACC,Private,2007,52
2760,Tulane University,LA,AAC,Private,2007,44
2762,Pepperdine University,CA,WCC,Private,2007,54
2770,Worcester Polytechnic Institute,MA,NEWMAC,Private,2007,64
2799,Yeshiva University,NY,,Private,2007,44
2844,Princeton University,NJ,Ivy League,Private,2006,1
2845,Massachusetts Institute of Technology,MA,NEWMAC,Private,2006,7
2846,Harvard University,MA,Ivy League,Private,2006,1
2847,Stanford University,CA,ACC,Private,2006,5
2848,Yale University,CT,Ivy League,Private,2006,3
2849,University of Pennsylvania,PA,Ivy League,Private,2006,4
2850,California Institute of Technology,CA,SCIAC,Private,2006,7
2851,Duke University,NC,ACC,Private,2006,5
2852,Brown University,RI,Ivy League,Private,2006,15
2853,Johns Hopkins University,MD,Centennial,Private,2006,13
2854,Northwestern University,IL,Big 10,Private,2006,12
2855,Columbia University,NY,Ivy League,Private,2006,9
2856,Cornell University,NY,Ivy League,Private,2006,13
2857,University of Chicago,IL,UAA,Private,2006,15
2858,University of California-Berkeley,CA,ACC,Public,2006,20
2859,University of California-Los Angeles,CA,Big 10,Public,2006,25
2860,Rice University,TX,AAC,Private,2006,17
2861,Dartmouth College,NH,Ivy League,Private,2006,9
2862,Vanderbilt University,TN,SEC,Private,2006,18
2863,University of Notre Dame,IN,ACC,Private,2006,18
2864,University of Michigan-Ann Arbor,MI,Big 10,Public,2006,25
2865,Georgetown University,DC,Big East,Private,2006,23
2866,University of North Carolina-Chapel Hill,NC,ACC,Public,2006,27
2867,Carnegie Mellon University,PA,UAA,Private,2006,22
2868,Emory University,GA,UAA,Private,2006,20
2869,University of Virginia,VA,ACC,Public,2006,23
2870,Washington University in St. Louis,MO,UAA,Private,2006,11
2871,University of California-Davis,CA,BWC,Public,2006,48
2872,University of California-San Diego,CA,BWC,Public,2006,32
2873,University of Florida,FL,SEC,Public,2006,50
2874,University of Southern California,CA,Big 10,Private,2006,30
2875,University of Texas-Austin,TX,SEC,Public,2006,52
2876,Georgia Institute of Technology,GA,ACC,Public,2006,37
2877,University of California-Irvine,CA,BWC,Public,2006,40
2878,New York University,NY,UAA,Private,2006,37
2879,University of California-Santa Barbara,CA,BWC,Public,2006,45
2880,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2006,42
2881,University of Wisconsin-Madison,WI,Big 10,Public,2006,34
2882,Boston College,MA,ACC,Private,2006,40
2883,Rutgers University-New Brunswick,NJ,Big 10,Public,2006,60
2884,Tufts University,MA,NESCAC,Private,2006,27
2885,University of Washington,WA,Big 10,Public,2006,45
2890,Lehigh University,PA,Patriot,Private,2006,32
2891,Texas A&M University-College Station,TX,SEC,Public,2006,60
2893,University of Rochester,NY,UAA,Private,2006,34
2895,Wake Forest University,NC,ACC,Private,2006,27
2896,Case Western Reserve University,OH,UAA,Private,2006,37
2897,College of William and Mary,VA,CAA,Public,2006,31
2903,Brandeis University,MA,UAA,Private,2006,34
2906,Pennsylvania State University-University Park,PA,Big 10,Public,2006,48
2907,Rensselaer Polytechnic Institute,NY,Liberty,Private,2006,43
2910,George Washington University,DC,A-10,Private,2006,53
2911,Syracuse University,NY,ACC,Private,2006,50
2918,Tulane University,LA,AAC,Private,2006,43
2920,Pepperdine University,CA,WCC,Private,2006,55
2928,Worcester Polytechnic Institute,MA,NEWMAC,Private,2006,53
2957,Yeshiva University,NY,,Private,2006,45
3002,Princeton University,NJ,Ivy League,Private,2005,1
3003,Massachusetts Institute of Technology,MA,NEWMAC,Private,2005,5
3004,Harvard University,MA,Ivy League,Private,2005,1
3005,Stanford University,CA,ACC,Private,2005,5
3006,Yale University,CT,Ivy League,Private,2005,3
3007,University of Pennsylvania,PA,Ivy League,Private,2005,4
3008,California Institute of Technology,CA,SCIAC,Private,2005,8
3009,Duke University,NC,ACC,Private,2005,5
3010,Brown University,RI,Ivy League,Private,2005,13
3011,Johns Hopkins University,MD,Centennial,Private,2005,14
3012,Northwestern University,IL,Big 10,Private,2005,11
3013,Columbia University,NY,Ivy League,Private,2005,9
3014,Cornell University,NY,Ivy League,Private,2005,14
3015,University of Chicago,IL,UAA,Private,2005,14
3016,University of California-Berkeley,CA,ACC,Public,2005,21
3017,University of California-Los Angeles,CA,Big 10,Public,2005,25
3018,Rice University,TX,AAC,Private,2005,17
3019,Dartmouth College,NH,Ivy League,Private,2005,9
3020,Vanderbilt University,TN,SEC,Private,2005,18
3021,University of Notre Dame,IN,ACC,Private,2005,18
3022,University of Michigan-Ann Arbor,MI,Big 10,Public,2005,22
3023,Georgetown University,DC,Big East,Private,2005,25
3024,University of North Carolina-Chapel Hill,NC,ACC,Public,2005,29
3025,Carnegie Mellon University,PA,UAA,Private,2005,22
3026,Emory University,GA,UAA,Private,2005,20
3027,University of Virginia,VA,ACC,Public,2005,22
3028,Washington University in St. Louis,MO,UAA,Private,2005,11
3029,University of California-Davis,CA,BWC,Public,2005,42
3030,University of California-San Diego,CA,BWC,Public,2005,35
3031,University of Florida,FL,SEC,Public,2005,50
3032,University of Southern California,CA,Big 10,Private,2005,30
3033,University of Texas-Austin,TX,SEC,Public,2005,46
3034,Georgia Institute of Technology,GA,ACC,Public,2005,41
3035,University of California-Irvine,CA,BWC,Public,2005,43
3036,New York University,NY,UAA,Private,2005,32
3037,University of California-Santa Barbara,CA,BWC,Public,2005,45
3038,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2005,37
3039,University of Wisconsin-Madison,WI,Big 10,Public,2005,32
3040,Boston College,MA,ACC,Private,2005,37
3041,Rutgers University-New Brunswick,NJ,Big 10,Public,2005,58
3042,Tufts University,MA,NESCAC,Private,2005,28
3043,University of Washington,WA,Big 10,Public,2005,46
3048,Lehigh University,PA,Patriot,Private,2005,37
3049,Texas A&M University-College Station,TX,SEC,Public,2005,62
3051,University of Rochester,NY,UAA,Private,2005,37
3053,Wake Forest University,NC,ACC,Private,2005,27
3054,Case Western Reserve University,OH,UAA,Private,2005,35
3055,College of William and Mary,VA,CAA,Public,2005,31
3061,Brandeis University,MA,UAA,Private,2005,32
3064,Pennsylvania State University-University Park,PA,Big 10,Public,2005,50
3065,Rensselaer Polytechnic Institute,NY,Liberty,Private,2005,46
3068,George Washington University,DC,A-10,Private,2005,52
3069,Syracuse University,NY,ACC,Private,2005,52
3076,Tulane University,LA,AAC,Private,2005,43
3078,Pepperdine University,CA,WCC,Private,2005,52
3086,Worcester Polytechnic Institute,MA,NEWMAC,Private,2005,55
3115,Yeshiva University,NY,,Private,2005,46
3160,Princeton University,NJ,Ivy League,Private,2004,1
3161,Massachusetts Institute of Technology,MA,NEWMAC,Private,2004,4
3162,Harvard University,MA,Ivy League,Private,2004,1
3163,Stanford University,CA,ACC,Private,2004,5
3164,Yale University,CT,Ivy League,Private,2004,3
3165,University of Pennsylvania,PA,Ivy League,Private,2004,5
3166,California Institute of Technology,CA,SCIAC,Private,2004,5
3167,Duke University,NC,ACC,Private,2004,5
3168,Brown University,RI,Ivy League,Private,2004,17
3169,Johns Hopkins University,MD,Centennial,Private,2004,14
3170,Northwestern University,IL,Big 10,Private,2004,11
3171,Columbia University,NY,Ivy League,Private,2004,11
3172,Cornell University,NY,Ivy League,Private,2004,14
3173,University of Chicago,IL,UAA,Private,2004,13
3174,University of California-Berkeley,CA,ACC,Public,2004,21
3175,University of California-Los Angeles,CA,Big 10,Public,2004,26
3176,Rice University,TX,AAC,Private,2004,16
3177,Dartmouth College,NH,Ivy League,Private,2004,9
3178,Vanderbilt University,TN,SEC,Private,2004,19
3179,University of Notre Dame,IN,ACC,Private,2004,19
3180,University of Michigan-Ann Arbor,MI,Big 10,Public,2004,25
3181,Georgetown University,DC,Big East,Private,2004,23
3182,University of North Carolina-Chapel Hill,NC,ACC,Public,2004,29
3183,Carnegie Mellon University,PA,UAA,Private,2004,23
3184,Emory University,GA,UAA,Private,2004,18
3185,University of Virginia,VA,ACC,Public,2004,21
3186,Washington University in St. Louis,MO,UAA,Private,2004,9
3187,University of California-Davis,CA,BWC,Public,2004,43
3188,University of California-San Diego,CA,BWC,Public,2004,32
3189,University of Florida,FL,SEC,Public,2004,48
3190,University of Southern California,CA,Big 10,Private,2004,30
3191,University of Texas-Austin,TX,SEC,Public,2004,53
3192,Georgia Institute of Technology,GA,ACC,Public,2004,37
3193,University of California-Irvine,CA,BWC,Public,2004,45
3194,New York University,NY,UAA,Private,2004,35
3195,University of California-Santa Barbara,CA,BWC,Public,2004,45
3196,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2004,40
3197,University of Wisconsin-Madison,WI,Big 10,Public,2004,32
3198,Boston College,MA,ACC,Private,2004,40
3199,Rutgers University-New Brunswick,NJ,Big 10,Public,2004,60
3200,Tufts University,MA,NESCAC,Private,2004,27
3201,University of Washington,WA,Big 10,Public,2004,45
3206,Lehigh University,PA,Patriot,Private,2004,37
3207,Texas A&M University-College Station,TX,SEC,Public,2004,67
3209,University of Rochester,NY,UAA,Private,2004,35
3211,Wake Forest University,NC,ACC,Private,2004,28
3212,Case Western Reserve University,OH,UAA,Private,2004,37
3213,College of William and Mary,VA,CAA,Public,2004,31
3219,Brandeis University,MA,UAA,Private,2004,32
3222,Pennsylvania State University-University Park,PA,Big 10,Public,2004,48
3223,Rensselaer Polytechnic Institute,NY,Liberty,Private,2004,48
3226,George Washington University,DC,A-10,Private,2004,51
3227,Syracuse University,NY,ACC,Private,2004,55
3234,Tulane University,LA,AAC,Private,2004,44
3236,Pepperdine University,CA,WCC,Private,2004,51
3244,Worcester Polytechnic Institute,MA,NEWMAC,Private,2004,55
3273,Yeshiva University,NY,,Private,2004,40
3318,Princeton University,NJ,Ivy League,Private,2003,1
3319,Massachusetts Institute of Technology,MA,NEWMAC,Private,2003,4
3320,Harvard University,MA,Ivy League,Private,2003,2
3321,Stanford University,CA,ACC,Private,2003,4
3322,Yale University,CT,Ivy League,Private,2003,2
3323,University of Pennsylvania,PA,Ivy League,Private,2003,4
3324,California Institute of Technology,CA,SCIAC,Private,2003,4
3325,Duke University,NC,ACC,Private,2003,4
3326,Brown University,RI,Ivy League,Private,2003,17
3327,Johns Hopkins University,MD,Centennial,Private,2003,15
3328,Northwestern University,IL,Big 10,Private,2003,10
3329,Columbia University,NY,Ivy League,Private,2003,10
3330,Cornell University,NY,Ivy League,Private,2003,14
3331,University of Chicago,IL,UAA,Private,2003,12
3332,University of California-Berkeley,CA,ACC,Public,2003,20
3333,University of California-Los Angeles,CA,Big 10,Public,2003,25
3334,Rice University,TX,AAC,Private,2003,15
3335,Dartmouth College,NH,Ivy League,Private,2003,9
3336,Vanderbilt University,TN,SEC,Private,2003,21
3337,University of Notre Dame,IN,ACC,Private,2003,18
3338,University of Michigan-Ann Arbor,MI,Big 10,Public,2003,25
3339,Georgetown University,DC,Big East,Private,2003,24
3340,University of North Carolina-Chapel Hill,NC,ACC,Public,2003,28
3341,Carnegie Mellon University,PA,UAA,Private,2003,21
3342,Emory University,GA,UAA,Private,2003,18
3343,University of Virginia,VA,ACC,Public,2003,23
3344,Washington University in St. Louis,MO,UAA,Private,2003,12
3345,University of California-Davis,CA,BWC,Public,2003,43
3346,University of California-San Diego,CA,BWC,Public,2003,31
3348,University of Southern California,CA,Big 10,Private,2003,31
3349,University of Texas-Austin,TX,SEC,Public,2003,47
3350,Georgia Institute of Technology,GA,ACC,Public,2003,38
3351,University of California-Irvine,CA,BWC,Public,2003,45
3352,New York University,NY,UAA,Private,2003,35
3353,University of California-Santa Barbara,CA,BWC,Public,2003,47
3354,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2003,38
3355,University of Wisconsin-Madison,WI,Big 10,Public,2003,31
3356,Boston College,MA,ACC,Private,2003,40
3358,Tufts University,MA,NESCAC,Private,2003,28
3359,University of Washington,WA,Big 10,Public,2003,47
3364,Lehigh University,PA,Patriot,Private,2003,40
3367,University of Rochester,NY,UAA,Private,2003,36
3369,Wake Forest University,NC,ACC,Private,2003,25
3370,Case Western Reserve University,OH,UAA,Private,2003,37
3371,College of William and Mary,VA,CAA,Public,2003,30
3377,Brandeis University,MA,UAA,Private,2003,31
3380,Pennsylvania State University-University Park,PA,Big 10,Public,2003,45
3381,Rensselaer Polytechnic Institute,NY,Liberty,Private,2003,47
3392,Tulane University,LA,AAC,Private,2003,43
3394,Pepperdine University,CA,WCC,Private,2003,47
3431,Yeshiva University,NY,,Private,2003,40
3476,Princeton University,NJ,Ivy League,Private,2002,1
3477,Massachusetts Institute of Technology,MA,NEWMAC,Private,2002,5
3478,Harvard University,MA,Ivy League,Private,2002,2
3479,Stanford University,CA,ACC,Private,2002,5
3480,Yale University,CT,Ivy League,Private,2002,2
3481,University of Pennsylvania,PA,Ivy League,Private,2002,5
3482,California Institute of Technology,CA,SCIAC,Private,2002,4
3483,Duke University,NC,ACC,Private,2002,8
3484,Brown University,RI,Ivy League,Private,2002,16
3485,Johns Hopkins University,MD,Centennial,Private,2002,16
3486,Northwestern University,IL,Big 10,Private,2002,12
3487,Columbia University,NY,Ivy League,Private,2002,9
3488,Cornell University,NY,Ivy League,Private,2002,14
3489,University of Chicago,IL,UAA,Private,2002,9
3490,University of California-Berkeley,CA,ACC,Public,2002,20
3491,University of California-Los Angeles,CA,Big 10,Public,2002,26
3492,Rice University,TX,AAC,Private,2002,12
3493,Dartmouth College,NH,Ivy League,Private,2002,9
3494,Vanderbilt University,TN,SEC,Private,2002,21
3495,University of Notre Dame,IN,ACC,Private,2002,19
3496,University of Michigan-Ann Arbor,MI,Big 10,Public,2002,25
3497,Georgetown University,DC,Big East,Private,2002,22
3498,University of North Carolina-Chapel Hill,NC,ACC,Public,2002,28
3499,Carnegie Mellon University,PA,UAA,Private,2002,22
3500,Emory University,GA,UAA,Private,2002,18
3501,University of Virginia,VA,ACC,Public,2002,24
3502,Washington University in St. Louis,MO,UAA,Private,2002,14
3503,University of California-Davis,CA,BWC,Public,2002,41
3504,University of California-San Diego,CA,BWC,Public,2002,31
3506,University of Southern California,CA,Big 10,Private,2002,34
3507,University of Texas-Austin,TX,SEC,Public,2002,48
3508,Georgia Institute of Technology,GA,ACC,Public,2002,41
3509,University of California-Irvine,CA,BWC,Public,2002,41
3510,New York University,NY,UAA,Private,2002,32
3511,University of California-Santa Barbara,CA,BWC,Public,2002,48
3512,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2002,36
3513,University of Wisconsin-Madison,WI,Big 10,Public,2002,32
3514,Boston College,MA,ACC,Private,2002,38
3516,Tufts University,MA,NESCAC,Private,2002,28
3517,University of Washington,WA,Big 10,Public,2002,45
3522,Lehigh University,PA,Patriot,Private,2002,38
3523,Texas A&M University-College Station,TX,SEC,Public,2002,48
3525,University of Rochester,NY,UAA,Private,2002,36
3527,Wake Forest University,NC,ACC,Private,2002,26
3528,Case Western Reserve University,OH,UAA,Private,2002,38
3529,College of William and Mary,VA,CAA,Public,2002,30
3535,Brandeis University,MA,UAA,Private,2002,34
3538,Pennsylvania State University-University Park,PA,Big 10,Public,2002,46
3539,Rensselaer Polytechnic Institute,NY,Liberty,Private,2002,48
3550,Tulane University,LA,AAC,Private,2002,46
3552,Pepperdine University,CA,WCC,Private,2002,48
3589,Yeshiva University,NY,,Private,2002,41
3634,Princeton University,NJ,Ivy League,Private,2001,1
3635,Massachusetts Institute of Technology,MA,NEWMAC,Private,2001,5
3636,Harvard University,MA,Ivy League,Private,2001,2
3637,Stanford University,CA,ACC,Private,2001,6
3638,Yale University,CT,Ivy League,Private,2001,2
3639,University of Pennsylvania,PA,Ivy League,Private,2001,6
3640,California Institute of Technology,CA,SCIAC,Private,2001,4
3641,Duke University,NC,ACC,Private,2001,8
3642,Brown University,RI,Ivy League,Private,2001,15
3643,Johns Hopkins University,MD,Centennial,Private,2001,15
3644,Northwestern University,IL,Big 10,Private,2001,13
3645,Columbia University,NY,Ivy League,Private,2001,10
3646,Cornell University,NY,Ivy League,Private,2001,10
3647,University of Chicago,IL,UAA,Private,2001,10
3648,University of California-Berkeley,CA,ACC,Public,2001,20
3649,University of California-Los Angeles,CA,Big 10,Public,2001,25
3650,Rice University,TX,AAC,Private,2001,13
3651,Dartmouth College,NH,Ivy League,Private,2001,9
3652,Vanderbilt University,TN,SEC,Private,2001,22
3653,University of Notre Dame,IN,ACC,Private,2001,19
3654,University of Michigan-Ann Arbor,MI,Big 10,Public,2001,25
3655,Georgetown University,DC,Big East,Private,2001,23
3656,University of North Carolina-Chapel Hill,NC,ACC,Public,2001,25
3657,Carnegie Mellon University,PA,UAA,Private,2001,23
3658,Emory University,GA,UAA,Private,2001,18
3659,University of Virginia,VA,ACC,Public,2001,20
3660,Washington University in St. Louis,MO,UAA,Private,2001,15
3661,University of California-Davis,CA,BWC,Public,2001,41
3662,University of California-San Diego,CA,BWC,Public,2001,31
3664,University of Southern California,CA,Big 10,Private,2001,35
3665,University of Texas-Austin,TX,SEC,Public,2001,49
3666,Georgia Institute of Technology,GA,ACC,Public,2001,35
3667,University of California-Irvine,CA,BWC,Public,2001,41
3668,New York University,NY,UAA,Private,2001,33
3669,University of California-Santa Barbara,CA,BWC,Public,2001,45
3670,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2001,41
3671,University of Wisconsin-Madison,WI,Big 10,Public,2001,35
3672,Boston College,MA,ACC,Private,2001,38
3674,Tufts University,MA,NESCAC,Private,2001,29
3675,University of Washington,WA,Big 10,Public,2001,45
3680,Lehigh University,PA,Patriot,Private,2001,38
3683,University of Rochester,NY,UAA,Private,2001,33
3685,Wake Forest University,NC,ACC,Private,2001,28
3686,Case Western Reserve University,OH,UAA,Private,2001,38
3687,College of William and Mary,VA,CAA,Public,2001,30
3693,Brandeis University,MA,UAA,Private,2001,31
3696,Pennsylvania State University-University Park,PA,Big 10,Public,2001,44
3697,Rensselaer Polytechnic Institute,NY,Liberty,Private,2001,49
3708,Tulane University,LA,AAC,Private,2001,45
3710,Pepperdine University,CA,WCC,Private,2001,49
3747,Yeshiva University,NY,,Private,2001,45
3792,Princeton University,NJ,Ivy League,Private,2000,4
3793,Massachusetts Institute of Technology,MA,NEWMAC,Private,2000,3
3794,Harvard University,MA,Ivy League,Private,2000,2
3795,Stanford University,CA,ACC,Private,2000,6
3796,Yale University,CT,Ivy League,Private,2000,4
3797,University of Pennsylvania,PA,Ivy League,Private,2000,7
3798,California Institute of Technology,CA,SCIAC,Private,2000,1
3799,Duke University,NC,ACC,Private,2000,7
3800,Brown University,RI,Ivy League,Private,2000,14
3801,Johns Hopkins University,MD,Centennial,Private,2000,7
3802,Northwestern University,IL,Big 10,Private,2000,14
3803,Columbia University,NY,Ivy League,Private,2000,10
3804,Cornell University,NY,Ivy League,Private,2000,11
3805,University of Chicago,IL,UAA,Private,2000,13
3806,University of California-Berkeley,CA,ACC,Public,2000,20
3807,University of California-Los Angeles,CA,Big 10,Public,2000,25
3808,Rice University,TX,AAC,Private,2000,14
3809,Dartmouth College,NH,Ivy League,Private,2000,11
3810,Vanderbilt University,TN,SEC,Private,2000,20
3811,University of Notre Dame,IN,ACC,Private,2000,19
3812,University of Michigan-Ann Arbor,MI,Big 10,Public,2000,25
3813,Georgetown University,DC,Big East,Private,2000,23
3814,University of North Carolina-Chapel Hill,NC,ACC,Public,2000,27
3815,Carnegie Mellon University,PA,UAA,Private,2000,23
3816,Emory University,GA,UAA,Private,2000,18
3817,University of Virginia,VA,ACC,Public,2000,22
3818,Washington University in St. Louis,MO,UAA,Private,2000,17
3819,University of California-Davis,CA,BWC,Public,2000,42
3820,University of California-San Diego,CA,BWC,Public,2000,32
3821,University of Florida,FL,SEC,Public,2000,49
3822,University of Southern California,CA,Big 10,Private,2000,42
3823,University of Texas-Austin,TX,SEC,Public,2000,44
3824,Georgia Institute of Technology,GA,ACC,Public,2000,40
3825,University of California-Irvine,CA,BWC,Public,2000,49
3826,New York University,NY,UAA,Private,2000,34
3827,University of California-Santa Barbara,CA,BWC,Public,2000,44
3828,University of Illinois-Urbana-Champaign,IL,Big 10,Public,2000,34
3829,University of Wisconsin-Madison,WI,Big 10,Public,2000,34
3830,Boston College,MA,ACC,Private,2000,39
3832,Tufts University,MA,NESCAC,Private,2000,29
3833,University of Washington,WA,Big 10,Public,2000,44
3838,Lehigh University,PA,Patriot,Private,2000,34
3841,University of Rochester,NY,UAA,Private,2000,32
3843,Wake Forest University,NC,ACC,Private,2000,28
3844,Case Western Reserve University,OH,UAA,Private,2000,34
3845,College of William and Mary,VA,CAA,Public,2000,29
3851,Brandeis University,MA,UAA,Private,2000,31
3854,Pennsylvania State University-University Park,PA,Big 10,Public,2000,40
3866,Tulane University,LA,AAC,Private,2000,44
3905,Yeshiva University,NY,,Private,2000,44
3950,Princeton University,NJ,Ivy League,Private,1999,1
3951,Massachusetts Institute of Technology,MA,NEWMAC,Private,1999,4
3952,Harvard University,MA,Ivy League,Private,1999,1
3953,Stanford University,CA,ACC,Private,1999,4
3954,Yale University,CT,Ivy League,Private,1999,1
3955,University of Pennsylvania,PA,Ivy League,Private,1999,6
3956,California Institute of Technology,CA,SCIAC,Private,1999,9
